Linea,Estacion,Promedio de Afluencia,Año,Periodo,Tipo de Afluencia
3,Indios Verdes,"135,607",2015,ENE-MAR,Mayor
A,Pantitlán,"128,249",2015,ENE-MAR,Mayor
8,Constitución de 1917,"118,192",2015,ENE-MAR,Mayor
2,Cuatro Caminos,"116,913",2015,ENE-MAR,Mayor
9,Pantitlán,"109,62",2015,ENE-MAR,Mayor
5,Pantitlán,"108,901",2015,ENE-MAR,Mayor
2,Tasqueña,"100,055",2015,ENE-MAR,Mayor
3,Universidad,"84,64",2015,ENE-MAR,Mayor
1,Observatorio,"82,091",2015,ENE-MAR,Mayor
1,Insurgentes,"74,246",2015,ENE-MAR,Mayor
B,Ciudad Azteca,"68,675",2015,ENE-MAR,Mayor
1,Chapultepec,"64,104",2015,ENE-MAR,Mayor
2,Zócalo,"63,356",2015,ENE-MAR,Mayor
B,Buenavista,"62,741",2015,ENE-MAR,Mayor
1,Zaragoza,"61,889",2015,ENE-MAR,Mayor
9,Chilpancingo,"55,615",2015,ENE-MAR,Mayor
9,Tacubaya,"54,589",2015,ENE-MAR,Mayor
12,Atlalilco,"53,907",2015,ENE-MAR,Mayor
1,Pantitlán,"50,652",2015,ENE-MAR,Mayor
3,Copilco,"50,495",2015,ENE-MAR,Mayor
4,Santa Anita,"2,522",2015,ENE-MAR,Menor
6,Deptvo. 18 de Marzo,"2,598",2015,ENE-MAR,Menor
8,Chabacano,"4,05",2015,ENE-MAR,Menor
6,Inst. del Petróleo,"4,577",2015,ENE-MAR,Menor
5,Valle Gómez,"4,936",2015,ENE-MAR,Menor
B,Morelos,"4,978",2015,ENE-MAR,Menor
5,Consulado,"5,456",2015,ENE-MAR,Menor
5,Hangares,"5,727",2015,ENE-MAR,Menor
B,Guerrero,"5,781",2015,ENE-MAR,Menor
6,Tezozomoc,"5,174",2015,ENE-MAR,Menor
B,Bosque de Aragón,"6,289",2015,ENE-MAR,Menor
8,Santa Anita,"6,733",2015,ENE-MAR,Menor
B,Ricardo Flores Magón,"6,795",2015,ENE-MAR,Menor
5,Institutp del Petróleo,"6,988",2015,ENE-MAR,Menor
9,Ciudad Deportiva,"7,016",2015,ENE-MAR,Menor
4,Bondojito,"7,061",2015,ENE-MAR,Menor
8,La Viga,"7,098",2015,ENE-MAR,Menor
4,Talismán,"7,246",2015,ENE-MAR,Menor
7,Tacubaya,"7,489",2015,ENE-MAR,Menor
3,Indios Verdes,"135,29",2015,ABR-JUN,Mayor
A,Pantitlán,"132,121",2015,ABR-JUN,Mayor
2,Cuatro Caminos,"120,878",2015,ABR-JUN,Mayor
8,Constitución de 1917,"114,428",2015,ABR-JUN,Mayor
9,Pantitlán,"111,153",2015,ABR-JUN,Mayor
5,Pantitlán,"108,278",2015,ABR-JUN,Mayor
2,Tasqueña,"100,736",2015,ABR-JUN,Mayor
3,Universidad,"84,176",2015,ABR-JUN,Mayor
1,Observatorio,"84,076",2015,ABR-JUN,Mayor
1,Insurgentes,"75,398",2015,ABR-JUN,Mayor
B,Ciudad Azteca,"71,185",2015,ABR-JUN,Mayor
2,Zócalo,"70,282",2015,ABR-JUN,Mayor
1,Chapultepec,"65,443",2015,ABR-JUN,Mayor
B,Buenavista,"65,372",2015,ABR-JUN,Mayor
1,Zaragoza,"61,884",2015,ABR-JUN,Mayor
9,Chilpancingo,"54,869",2015,ABR-JUN,Mayor
9,Tacubaya,"54,793",2015,ABR-JUN,Mayor
1,Pantitlán,"52,789",2015,ABR-JUN,Mayor
12,Atlalilco,"49,326",2015,ABR-JUN,Mayor
1,Merced,"48,987",2015,ABR-JUN,Mayor
4,Santa Anita,"2,471",2015,ABR-JUN,Menor
6,Deptvo. 18 de Marzo,"2,728",2015,ABR-JUN,Menor
8,Chabacano,"4,343",2015,ABR-JUN,Menor
6,Inst. del Petróleo,"4,623",2015,ABR-JUN,Menor
4,Consulado,"4,867",2015,ABR-JUN,Menor
B,Morelos,"4,916",2015,ABR-JUN,Menor
5,Valle Gómez,"5,014",2015,ABR-JUN,Menor
5,Consulado,"5,604",2015,ABR-JUN,Menor
5,Hangares,"5,768",2015,ABR-JUN,Menor
B,Guerrero,"5,967",2015,ABR-JUN,Menor
B,Ricardo Flores Magón,"6,245",2015,ABR-JUN,Menor
6,Tezozomoc,"6,25",2015,ABR-JUN,Menor
B,Bosque de Aragón,"6,426",2015,ABR-JUN,Menor
5,Inst. del Petróleo,"6,746",2015,ABR-JUN,Menor
4,Talismán,"7,231",2015,ABR-JUN,Menor
4,Bondojito,"7,24",2015,ABR-JUN,Menor
9,Ciudad Deportiva,"7,285",2015,ABR-JUN,Menor
8,Santa Anita,"7,288",2015,ABR-JUN,Menor
8,La Viga,"7,341",2015,ABR-JUN,Menor
12,Eje Central,"7,362",2015,ABR-JUN,Menor
4,Santa Anita,"2,471",2015,JUL-SEP,Mayor
6,Deptvo. 18 de Marzo,"2,728",2015,JUL-SEP,Mayor
8,Chabacano,"4,343",2015,JUL-SEP,Mayor
6,Inst. del Petróleo,"4,623",2015,JUL-SEP,Mayor
4,Consulado,"4,867",2015,JUL-SEP,Mayor
B,Morelos,"4,916",2015,JUL-SEP,Mayor
5,Valle Gómez,"5,014",2015,JUL-SEP,Mayor
5,Consulado,"5,604",2015,JUL-SEP,Mayor
5,Hangares,"5,768",2015,JUL-SEP,Mayor
B,Guerrero,"5,967",2015,JUL-SEP,Mayor
B,Ricardo Flores Magón,"6,245",2015,JUL-SEP,Mayor
6,Tezozomoc,"6,25",2015,JUL-SEP,Mayor
B,Bosque de Aragón,"6,426",2015,JUL-SEP,Mayor
5,Inst. del Petróleo,"6,746",2015,JUL-SEP,Mayor
4,Talismán,"7,231",2015,JUL-SEP,Mayor
4,Bondojito,"7,24",2015,JUL-SEP,Mayor
9,Ciudad Deportiva,"7,285",2015,JUL-SEP,Mayor
8,Santa Anita,"7,288",2015,JUL-SEP,Mayor
8,La Viga,"7,341",2015,JUL-SEP,Mayor
12,Eje Central,"7,362",2015,JUL-SEP,Mayor
4,Santa Anita,"2,465",2015,JUL-SEP,Menor
6,Deptvo. 18 de Marzo,"2,963",2015,JUL-SEP,Menor
8,Chabacano,"4,212",2015,JUL-SEP,Menor
5,Valle Gómez,"4,733",2015,JUL-SEP,Menor
4,Consulado,"4,796",2015,JUL-SEP,Menor
B,Morelos,"4,879",2015,JUL-SEP,Menor
A,Peñón Viejo,"4,966",2015,JUL-SEP,Menor
6,Inst. del Petróleo,"5,014",2015,JUL-SEP,Menor
A,Acatitla,"5,313",2015,JUL-SEP,Menor
5,Consulado,"5,35",2015,JUL-SEP,Menor
5,Hangares,"5,837",2015,JUL-SEP,Menor
B,Guerrero,"5,861",2015,JUL-SEP,Menor
6,Tezozomoc,"6,106",2015,JUL-SEP,Menor
B,Ricardo Flores Magón,"6,194",2015,JUL-SEP,Menor
5,Inst. del Petróleo,"6,443",2015,JUL-SEP,Menor
B,Bosque de Aragón,"6,503",2015,JUL-SEP,Menor
9,Ciudad Deportiva,"6,996",2015,JUL-SEP,Menor
4,Talismán,"7,019",2015,JUL-SEP,Menor
8,Santa Anita,"7,072",2015,JUL-SEP,Menor
12,Eje Central,"7,163",2015,JUL-SEP,Menor
A,Pantitlán,"130,072",2015,OCT-DIC,Mayor
3,Indios Verdes,"129,15",2015,OCT-DIC,Mayor
2,Cuatro Caminos,"121,785",2015,OCT-DIC,Mayor
9,Pantitlán,"110,474",2015,OCT-DIC,Mayor
8,Constitución de 1917,"107,794",2015,OCT-DIC,Mayor
9,Pantitlán,"107,105",2015,OCT-DIC,Mayor
2,Tasqueña,"95,562",2015,OCT-DIC,Mayor
3,Universidad,"85,424",2015,OCT-DIC,Mayor
1,Observatorio,"83,652",2015,OCT-DIC,Mayor
2,Zócalo,"80,444",2015,OCT-DIC,Mayor
1,Insurgentes,"74,59",2015,OCT-DIC,Mayor
B,Ciudad Azteca,"72,91",2015,OCT-DIC,Mayor
B,Buenavista,"67,199",2015,OCT-DIC,Mayor
1,Zaragoza,"60,854",2015,OCT-DIC,Mayor
1,Chapultepec,"60,394",2015,OCT-DIC,Mayor
1,Merced,"56,087",2015,OCT-DIC,Mayor
9,Tacubaya,"54,503",2015,OCT-DIC,Mayor
1,Pantitlán,"52,328",2015,OCT-DIC,Mayor
9,Chilpancingo,"49,366",2015,OCT-DIC,Mayor
7,Barranca del Muerto,"46,778",2015,OCT-DIC,Mayor
12,Tlaltenco,822,2015,OCT-DIC,Menor
4,Santa Anita,"2,498",2015,OCT-DIC,Menor
6,Deptvo. 18 de Marzo,"2,817",2015,OCT-DIC,Menor
12,Zapotitlán,"3,845",2015,OCT-DIC,Menor
8,Chabacano,"4,373",2015,OCT-DIC,Menor
12,Olivos,"4,67",2015,OCT-DIC,Menor
4,Consulado,"4,938",2015,OCT-DIC,Menor
B,Morelos,"5,055",2015,OCT-DIC,Menor
5,Valle Gómez,"5,076",2015,OCT-DIC,Menor
6,Inst. del Petróleo,"5,125",2015,OCT-DIC,Menor
12,Lomas Estrella,"5,148",2015,OCT-DIC,Menor
12,Nopalera,"5,219",2015,OCT-DIC,Menor
12,Tezonco,"5,357",2015,OCT-DIC,Menor
12,San Andrés Tomatlán,"5,582",2015,OCT-DIC,Menor
5,Consulado,"5,619",2015,OCT-DIC,Menor
B,Ricardo Flores Magón,"5,767",2015,OCT-DIC,Menor
B,Guerrero,"5,855",2015,OCT-DIC,Menor
5,Hangares,"5,91",2015,OCT-DIC,Menor
B,Bosque de Aragón,"6,364",2015,OCT-DIC,Menor
6,Tezozomoc,"6,515",2015,OCT-DIC,Menor
A,Pantitlán,"126,611",2016,ENE-MAR,Mayor
3,Indios Verdes,"124,577",2016,ENE-MAR,Mayor
2,Cuatro Caminos,"115,188",2016,ENE-MAR,Mayor
5,Pantitlán,"104,941",2016,ENE-MAR,Mayor
8,Constitución de 1917,"100,084",2016,ENE-MAR,Mayor
9,Pantitlán,"100,028",2016,ENE-MAR,Mayor
3,Universidad,"83,871",2016,ENE-MAR,Mayor
2,Tasqueña,"83,24",2016,ENE-MAR,Mayor
1,Observatorio,"78,282",2016,ENE-MAR,Mayor
1,Insurgentes,"68,796",2016,ENE-MAR,Mayor
B,Ciudad Azteca,"68,146",2016,ENE-MAR,Mayor
2,Zócalo,"67,413",2016,ENE-MAR,Mayor
B,Buenavista,"58,452",2016,ENE-MAR,Mayor
1,Chapultepec,"58,028",2016,ENE-MAR,Mayor
1,Zaragoza,"57,312",2016,ENE-MAR,Mayor
9,Tacubaya,"52,8",2016,ENE-MAR,Mayor
9,Chilpancingo,"52,282",2016,ENE-MAR,Mayor
1,Pantitlán,"49,828",2016,ENE-MAR,Mayor
1,Merced,"45,522",2016,ENE-MAR,Mayor
7,Barranca del Muerto,"44,94",2016,ENE-MAR,Mayor
12,Tlaltenco,"2,194",2016,ENE-MAR,Menor
6,Deportivo 18 de Marzo,"2,271",2016,ENE-MAR,Menor
4,Santa Anita,"2,299",2016,ENE-MAR,Menor
B,Morelos,"3,726",2016,ENE-MAR,Menor
8,Chabacano,"4,054",2016,ENE-MAR,Menor
6,Instituto del Petróleo,"4,486",2016,ENE-MAR,Menor
4,Consulado,"4,562",2016,ENE-MAR,Menor
5,Valle Gómez,"4,76",2016,ENE-MAR,Menor
5,Consulado,"5,08",2016,ENE-MAR,Menor
5,Hangares,"5,231",2016,ENE-MAR,Menor
B,Guerrero,"5,37",2016,ENE-MAR,Menor
B,Ricardo Flores Magón,"5,398",2016,ENE-MAR,Menor
6,Tezozómoc,"5,952",2016,ENE-MAR,Menor
B,Bosques de Aragón,"6,189",2016,ENE-MAR,Menor
4,Talismán,"6,404",2016,ENE-MAR,Menor
5,Instituto del Petróleo,"6,592",2016,ENE-MAR,Menor
9,Ciudad Deportiva,"6,647",2016,ENE-MAR,Menor
8,Santa Anita,"6,694",2016,ENE-MAR,Menor
8,La Viga,"7,061",2016,ENE-MAR,Menor
7,Tacubaya,"7,1",2016,ENE-MAR,Menor
3,Indios Verdes,"131,744",2016,ABR-JUN,Mayor
A,Pantitlán,"126,519",2016,ABR-JUN,Mayor
2,Cuatro Caminos,"120,749",2016,ABR-JUN,Mayor
5,Pantitlán,"112,293",2016,ABR-JUN,Mayor
9,Pantitlán,"106,078",2016,ABR-JUN,Mayor
8,Constitución de 1917,"99,922",2016,ABR-JUN,Mayor
3,Universidad,"88,23",2016,ABR-JUN,Mayor
2,Tasqueña,"85,768",2016,ABR-JUN,Mayor
1,Observatorio,"84,914",2016,ABR-JUN,Mayor
1,Insurgentes,"72,666",2016,ABR-JUN,Mayor
B,Ciudad Azteca,"70,338",2016,ABR-JUN,Mayor
2,Zócalo,"67,848",2016,ABR-JUN,Mayor
B,Buenavista,"66,128",2016,ABR-JUN,Mayor
1,Chapultepec,"61,949",2016,ABR-JUN,Mayor
1,Zaragoza,"59,053",2016,ABR-JUN,Mayor
9,Tacubaya,"57,143",2016,ABR-JUN,Mayor
1,Pantitlán,"51,305",2016,ABR-JUN,Mayor
3,Copilco,"50,913",2016,ABR-JUN,Mayor
9,Chilpancingo,"50,061",2016,ABR-JUN,Mayor
1,Merced,"48,742",2016,ABR-JUN,Mayor
6,Deptvo. 18 de Marzo,"2,166",2016,ABR-JUN,Menor
4,Santa Anita,"2,434",2016,ABR-JUN,Menor
12,Tlaltenco,"2,558",2016,ABR-JUN,Menor
B,Morelos,"3,954",2016,ABR-JUN,Menor
8,Chabacano,"4,382",2016,ABR-JUN,Menor
6,Inst. del Petróleo,"4,618",2016,ABR-JUN,Menor
4,Consulado,"4,747",2016,ABR-JUN,Menor
5,Valle Gómez,"5,179",2016,ABR-JUN,Menor
5,Consulado,"5,443",2016,ABR-JUN,Menor
5,Hangares,"5,643",2016,ABR-JUN,Menor
B,Guerrero,"5,938",2016,ABR-JUN,Menor
B,Ricardo Flores Magón,6,2016,ABR-JUN,Menor
6,Tezozomoc,"6,361",2016,ABR-JUN,Menor
5,Inst. del Petróleo,"6,41",2016,ABR-JUN,Menor
B,Bosque de Aragón,"6,503",2016,ABR-JUN,Menor
B,Garibaldi,"6,577",2016,ABR-JUN,Menor
4,Talismán,"6,623",2016,ABR-JUN,Menor
9,Ciudad Deportiva,"7,078",2016,ABR-JUN,Menor
8,Santa Anita,"7,315",2016,ABR-JUN,Menor
7,Tacubaya,"7,501",2016,ABR-JUN,Menor
A,Pantitlán,"132,151",2016,JUL-SEP,Mayor
3,Indios Verdes,"127,679",2016,JUL-SEP,Mayor
2,Cuatro Caminos,"112,836",2016,JUL-SEP,Mayor
5,Pantitlán,"111,929",2016,JUL-SEP,Mayor
8,Constitución de 1917,"102,274",2016,JUL-SEP,Mayor
9,Pantitlán,"101,053",2016,JUL-SEP,Mayor
1,Observatorio,"85,089",2016,JUL-SEP,Mayor
3,Universidad,"84,515",2016,JUL-SEP,Mayor
2,Tasqueña,"79,695",2016,JUL-SEP,Mayor
2,Zócalo,"72,294",2016,JUL-SEP,Mayor
1,Insurgentes,"69,319",2016,JUL-SEP,Mayor
B,Ciudad Azteca,"66,723",2016,JUL-SEP,Mayor
B,Buenavista,"63,465",2016,JUL-SEP,Mayor
1,Chapultepec,"60,536",2016,JUL-SEP,Mayor
1,Zaragoza,"57,185",2016,JUL-SEP,Mayor
9,Tacubaya,"55,838",2016,JUL-SEP,Mayor
9,Chilpancingo,"52,317",2016,JUL-SEP,Mayor
1,Pantitlán,"51,567",2016,JUL-SEP,Mayor
1,Merced,"50,971",2016,JUL-SEP,Mayor
3,Copilco,"49,053",2016,JUL-SEP,Mayor
4,Santa Anita,"2,454",2016,JUL-SEP,Menor
12,Tlaltenco,"2,73",2016,JUL-SEP,Menor
B,Morelos,"4,067",2016,JUL-SEP,Menor
8,Chabacano,"4,105",2016,JUL-SEP,Menor
6,Inst. del Petróleo,"4,251",2016,JUL-SEP,Menor
4,Consulado,"4,545",2016,JUL-SEP,Menor
5,Valle Gómez,"4,932",2016,JUL-SEP,Menor
5,Consulado,"5,003",2016,JUL-SEP,Menor
5,Hangares,"5,526",2016,JUL-SEP,Menor
B,Ricardo Flores Magón,"5,653",2016,JUL-SEP,Menor
B,Guerrero,"5,76",2016,JUL-SEP,Menor
5,Inst. del Petróleo,"5,925",2016,JUL-SEP,Menor
6,Tezozomoc,"5,927",2016,JUL-SEP,Menor
4,Talismán,"6,115",2016,JUL-SEP,Menor
B,Bosque de Aragón,"6,385",2016,JUL-SEP,Menor
B,Garibaldi,"6,828",2016,JUL-SEP,Menor
9,Ciudad Deportiva,"6,916",2016,JUL-SEP,Menor
8,Iztapalapa,"7,006",2016,JUL-SEP,Menor
8,Santa Anita,"7,009",2016,JUL-SEP,Menor
A,Pantitlán,"135,691",2016,OCT-DIC,Mayor
3,Indios Verdes,"130,124",2016,OCT-DIC,Mayor
5,Pantitlán,"114,808",2016,OCT-DIC,Mayor
2,Cuatro Caminos,"111,219",2016,OCT-DIC,Mayor
8,Constitución de 1917,"106,862",2016,OCT-DIC,Mayor
9,Pantitlán,"100,605",2016,OCT-DIC,Mayor
3,Universidad,"85,716",2016,OCT-DIC,Mayor
2,Tasqueña,"83,224",2016,OCT-DIC,Mayor
2,Zócalo,"82,486",2016,OCT-DIC,Mayor
1,Observatorio,"81,684",2016,OCT-DIC,Mayor
B,Buenavista,"67,107",2016,OCT-DIC,Mayor
B,Ciudad Azteca,"66,343",2016,OCT-DIC,Mayor
1,Insurgentes,"64,46",2016,OCT-DIC,Mayor
1,Chapultepec,"57,093",2016,OCT-DIC,Mayor
9,Tacubaya,"56,714",2016,OCT-DIC,Mayor
1,Merced,"55,752",2016,OCT-DIC,Mayor
1,Zaragoza,"54,673",2016,OCT-DIC,Mayor
9,Chilpancingo,"52,129",2016,OCT-DIC,Mayor
1,Pantitlán,"51,866",2016,OCT-DIC,Mayor
12,Tláhuac,"51,681",2016,OCT-DIC,Mayor
6,Deptvo. 18 de Marzo,"1,872",2016,OCT-DIC,Menor
4,Santa Anita,"2,431",2016,OCT-DIC,Menor
12,Tlaltenco,"2,794",2016,OCT-DIC,Menor
6,Inst. del Petróleo,"4,291",2016,OCT-DIC,Menor
8,Chabacano,"4,352",2016,OCT-DIC,Menor
B,Morelos,"4,403",2016,OCT-DIC,Menor
